ID,TARGET_LifeExpectancy
1,59.00743275267001
2,56.373707117291644
3,56.16163790515156
4,55.912082123911155
5,55.60830508993124
6,55.086235454656766
7,54.96236249283516
8,54.169171713815544
9,54.934503016225825
10,52.41883313722707
11,52.94739900492239
12,55.924722030031134
13,55.332697106137346
14,53.3098302387665
15,55.39858786257653
16,55.403913433963375
17,79.88037132741502
18,82.65969359672022
19,82.42040008352771
20,82.2307824879734
21,81.59717844396022
22,81.2334656966077
23,80.68820465970072
24,80.66485826394413
25,79.34958788498435
26,80.43663594845142
27,78.86015156228491
28,79.24280356523647
29,80.04361013433832
30,77.57482226633296
31,78.31114910100314
32,74.90012122019917
33,73.14502313927267
34,75.03573232590323
35,74.69737832557803
36,73.85095415622497
37,76.87308234761385
38,71.93622372271486
39,71.76082655363605
40,75.4863428800987
41,75.23374354807433
42,71.98317857296107
43,74.28198563333125
44,73.56125373420304
45,71.49494317522496
46,72.91475962530873
47,71.64138049717565
48,69.17944071715787
49,74.70039991829492
50,76.47855788668568
51,74.32615864372433
52,74.4086288110332
53,74.27412732931464
54,74.12755351584585
55,73.7217673748847
56,72.64687429352242
57,72.93647093875217
58,72.65920749405576
59,72.44105330580106
60,72.15276339952275
61,71.4110709765044
62,73.39919147905643
63,71.2949405884637
64,74.35039790198908
65,72.63529352788743
66,72.65897530339316
67,72.06944416723535
68,72.17171205228465
69,71.6181226445541
70,72.91560057929806
71,72.93632905165086
72,70.15917649352006
73,69.58815845970891
74,69.27876920032953
75,69.16294145008
76,68.81232859113666
77,70.4096999085761
78,67.42866851678693
79,66.66340586621286
80,66.35377460408718
81,73.72776895108271
82,74.08313201038939
83,74.10852942236562
84,73.51066150437451
85,72.69235008368695
86,72.7823032585581
87,72.2966973882828
88,72.7018844921983
89,73.0871080774493
90,71.98413687354483
91,68.50757184703241
92,69.93415899004954
93,69.97319835270898
94,69.2421759002334
95,70.45921865790382
96,65.69984951645313
97,55.624715718717205
98,60.63386439400651
99,56.101773753538296
100,54.75115561003605
101,53.19046957182377
102,54.283433504929114
103,53.64879764073841
104,52.45858049880152
105,52.15092331960358
106,52.03008578899176
107,51.85446519693595
108,51.00827534164133
109,49.83889235261102
110,50.96815862628525
111,52.65866700328541
112,50.25296694715256
113,67.30804353073498
114,66.42351573769929
115,66.76638288139263
116,67.4667754401678
117,68.19343698941923
118,66.44177634363554
119,66.9244299875121
120,66.73036145500234
121,67.25827707297759
122,64.17648171644609
123,63.57240909873259
124,62.82648559610948
125,60.06524295004283
126,58.7678970883612
127,58.18447908217085
128,58.00962130206539
129,58.31936519091949
130,57.794737530901386
131,58.27690034548731
132,57.32055656489528
133,57.010871574587426
134,60.24630496883296
135,55.54335696224824
136,54.8622899339362
137,54.14238721712772
138,54.04426584504574
139,55.461969731763475
140,52.716574418547694
141,52.42325176688049
142,54.78896715692683
143,53.82643282259582
144,50.670225047163065
145,79.59315811600175
146,78.9432940476081
147,84.23199171715652
148,84.41648432392792
149,78.51869500475004
150,81.68484754487267
151,79.99276483655731
152,82.88841791482938
153,80.76140611476278
154,79.52118656212562
155,81.07382519496049
156,81.05359562987104
157,79.94805849654762
158,78.5220292926179
159,78.34270504122011
160,77.99809389946685
161,55.14663668183383
162,55.35302169543301
163,55.141785773476435
164,55.95914821070326
165,56.69920255527193
166,54.65665766970888
167,54.211451585491126
168,55.666837048973285
169,53.53316704112028
170,53.42890977489003
171,54.476748749867475
172,53.61582857409978
173,53.18470290543179
174,47.657330939971146
175,47.97321193518251
176,49.32691126205209
177,69.32662710416662
178,68.08608047182783
179,67.1979661524766
180,66.10035347565149
181,65.56258428251385
182,65.03693055139105
183,63.86527420141422
184,63.51223771688582
185,62.24686706652676
186,60.799983977323755
187,58.973654243083125
188,56.82753169786432
189,55.358285896777694
190,53.96745338562399
191,52.43039786020612
192,51.612028047320464
193,73.9385870358959
194,76.1199847697851
195,73.36983627038212
196,74.03461700092015
197,71.68933436776942
198,72.86221938066208
199,74.07244935827522
200,72.10124217102229
201,72.23839620178765
202,71.52561240752607
203,70.494782693139
204,70.56805860148394
205,72.01096541285426
206,69.44387500895888
207,69.69167759598386
208,68.28835653041257
209,68.01216766359613
210,75.34869968340088
211,74.10150700390042
212,75.029973134611
213,75.87476744152825
214,75.08909198447125
215,75.752118693291
216,75.18470103544657
217,75.82671693630999
218,74.91217670706541
219,73.99867641074871
220,72.75875212060292
221,72.58403014338059
222,71.4776560126625
223,72.37357418858838
224,71.61939259634326
225,70.80111088610558
226,55.802915675534294
227,57.27019259728554
228,55.288319656136224
229,55.509623293054695
230,57.90551284088413
231,58.67112400549755
232,56.52297146840505
233,56.211121287618205
234,57.12593833117087
235,54.66224886837964
236,58.23763652507085
237,55.687316005660335
238,55.76787199161153
239,58.606765755536415
240,57.1528196626872
241,58.44354116114168
242,60.92680328852747
243,61.43829495701026
244,59.48669177234069
245,59.30756900373105
246,59.15146627627753
247,58.73766101730825
248,58.923521107052366
249,58.187846719745764
250,56.94738036195304
251,56.00903363451188
252,53.87740207023438
253,54.818142655312364
254,55.24329788563665
255,55.11936856004482
256,54.10808862414566
257,53.315825481248716
258,72.94814532138953
259,74.76604000269518
260,73.02532757361064
261,73.11035238158394
262,72.68773322127772
263,74.43887174941969
264,74.45160463310589
265,74.24661754158896
266,74.26071753704798
267,71.94736747902716
268,71.80171529881392
269,71.33162573589681
270,73.24927156326714
271,72.99679723775205
272,70.7940324675711
273,67.92563635666473
274,80.46381890293887
275,80.75907921716932
276,80.50562178567878
277,80.39489568163359
278,80.3322455389756
279,80.23995217394948
280,78.94332521651245
281,79.3821916629663
282,80.255971226363
283,78.23560336340009
284,77.23279357181666
285,76.09269317631271
286,76.78408197816721
287,75.3796947150198
288,73.4387362646236
289,74.23748884408585
290,66.45759075108161
291,67.72389930060086
292,68.44915707450038
293,69.25018942292726
294,68.45899540462571
295,68.67684028645
296,68.16028818016926
297,70.26880733664865
298,66.99750640551254
299,66.830550500456
300,67.84767249402387
301,67.85261000672847
302,66.85470401925298
303,66.15724011862191
304,64.05224577377385
305,61.00645144370391
306,60.39356897476901
307,60.10140762220091
308,59.41309077314588
309,59.12580639101566
310,58.848579418313584
311,57.994030172921626
312,57.52757108801974
313,57.25928099399836
314,58.39095435760966
315,56.79194137923239
316,55.152862023162236
317,56.625890857059936
318,55.2513399421932
319,55.52685615177805
320,59.02152802488693
321,58.14267053038828
322,68.2239215640208
